date,very negative,negative,neutral or mixed,positive,very positive,total
2020-01-27,21,337,63,71,1,493
2020-01-28,665,8899,2034,2059,43,13700
2020-01-29,723,8749,2204,2261,38,13975
2020-01-30,762,9986,2150,2506,49,15453
2020-01-31,567,8675,1989,2278,45,13554
2020-02-01,465,6426,1497,1716,32,10136
2020-02-02,410,5841,1415,1700,36,9402
2020-02-03,423,5314,1391,1519,46,8693
2020-02-04,270,4007,1000,1153,29,6459
2020-02-05,124,2850,819,915,17,4725
2020-02-06,413,5758,1177,1322,33,8703
2020-02-07,387,5583,1191,1546,47,8754
2020-02-08,298,4978,996,1116,35,7423
2020-02-09,232,3979,816,878,19,5924
2020-02-10,317,4678,1115,1218,32,7360
2020-02-11,302,5255,1667,1656,26,8906
2020-02-12,251,4650,1364,1582,40,7887
2020-02-13,230,4778,1298,1524,39,7869
2020-02-14,206,3923,1059,1336,43,6567
2020-02-15,151,3211,858,1078,17,5315
2020-02-16,149,3363,1088,1252,19,5871
2020-02-17,201,4135,1121,1402,23,6882
2020-02-18,218,4681,1170,1380,26,7475
2020-02-19,181,3710,1076,1310,31,6308
2020-02-20,207,3555,962,1192,31,5947
2020-02-21,237,4168,1083,1257,27,6772
2020-02-22,222,3968,999,1113,23,6325
2020-02-23,318,5192,1302,1497,28,8337
2020-02-24,560,8459,1939,2194,31,13183
2020-02-25,992,14273,2957,3306,44,21572
2020-02-26,1399,19312,4029,4392,75,29207
2020-02-27,1833,25170,5055,5768,85,37911
2020-02-28,2222,29676,6541,7738,164,46341
2020-02-29,1620,22535,4641,5114,97,34007
2020-03-01,1286,17904,4097,4970,86,28343
2020-03-02,2020,26080,5817,7107,128,41152
2020-03-03,2396,28564,6698,7970,145,45773
2020-03-04,2467,28016,6618,8177,143,45421
2020-03-05,2715,31530,7731,9811,210,51997
2020-03-06,3142,35443,8798,11406,203,58992
2020-03-07,2587,28992,6724,8597,154,47054
2020-03-08,2744,30995,6587,8188,145,48659
2020-03-09,5688,62103,13058,15725,265,96839
2020-03-10,6251,67113,15872,19895,324,109455
2020-03-11,13193,121525,29859,36768,586,201931
2020-03-12,15710,161332,43396,56593,1020,278051
2020-03-13,13512,151656,42716,60860,1303,270047
2020-03-14,7447,91802,26410,38171,896,164726
2020-03-15,8199,97410,28386,41619,959,176573
2020-03-16,11618,128646,40289,58627,1122,240302
2020-03-17,7144,89363,28171,42668,865,168211
2020-03-18,10945,131773,41433,61890,1291,247332
2020-03-19,9109,111279,36200,54224,1192,212004
2020-03-20,7157,76540,22946,35109,1088,142840
2020-03-21,7042,94713,30836,47319,1396,181306
2020-03-22,7311,89376,26844,41009,1108,165648
2020-03-23,7107,99404,33376,52903,1255,194045
2020-03-24,7565,109308,36950,59348,1321,214492
2020-03-25,7213,106412,37192,61380,1410,213607
2020-03-26,7817,110987,37360,63115,2067,221346
